iter	TotalF1:average=Micro	MultiClass
117	0.7081583493	0.6589673993
118	0.708303025	0.6585614453
119	0.7083782417	0.6580365085
120	0.7086932563	0.657570378
121	0.7087802742	0.6571642659
122	0.7089529664	0.6566648856
123	0.7092369439	0.6562294757
124	0.7094585155	0.6558290019
125	0.7094507562	0.6554425447
126	0.7095954546	0.6549977552
127	0.7096763995	0.6546787989
128	0.7099229561	0.6542802221
129	0.7100129899	0.6539060952
130	0.7100571739	0.6535633212
131	0.710005916	0.6532320872
132	0.7103202475	0.6528220758
133	0.7104585438	0.6524466316
134	0.71047	0.6520997475
135	0.7107239776	0.6517103921
136	0.7108929547	0.6513546027
137	0.7109158875	0.6510749034
138	0.7111084623	0.6506815959
139	0.7111637781	0.6503689629
140	0.7111772471	0.6500601238
141	0.7112568346	0.6497729419
142	0.7114575161	0.6493763147
143	0.7116177125	0.6490482423
144	0.7116308642	0.6487563707
145	0.7117350845	0.6485041776
146	0.7117984908	0.6482504563
147	0.7118952901	0.6480059565
148	0.7119536447	0.6477227794
149	0.712024141	0.6473673589
150	0.7122153496	0.6470773315
151	0.7124345908	0.6468653965
152	0.7123961462	0.6466097256
153	0.7127236451	0.6463110038
154	0.7128292182	0.646040157
155	0.7130191015	0.6457218857
156	0.7130953098	0.6453991354
157	0.7132271835	0.6451636989
158	0.7133799772	0.6448977
159	0.7134359603	0.6445576661
160	0.713552994	0.6441903895
161	0.7136018847	0.6438676919
162	0.713764117	0.6435754514
163	0.7139182587	0.6433158811
164	0.7140737462	0.6431055797
165	0.7140349497	0.6428290946
166	0.7140949836	0.6426265919
167	0.7143702171	0.6422677463
168	0.7145388538	0.6419530055
169	0.714704454	0.6416976507
170	0.7148241883	0.6414967288
171	0.7148970333	0.6413150928
172	0.7150848947	0.6410084142
173	0.7151931545	0.640783938
174	0.7154511762	0.6405785371
175	0.7154042845	0.6403421522
176	0.7155735907	0.6401066103
177	0.7157034446	0.6399102201
178	0.7157914632	0.639676101
179	0.7159395181	0.6394626906
180	0.7160784817	0.6391275045
181	0.7161297282	0.6389246856
182	0.7160717162	0.6387213398
183	0.7160771198	0.6384714652
184	0.7161799967	0.6382232768
